workoutActivityType,creation_datetime,start_datetime,end_datetime,duration,durationUnit
HKWorkoutActivityTypeRunning,2019-09-19 14:33:33-06:00,2019-09-19 14:15:06-06:00,2019-09-19 14:33:23-06:00,7.841450085242589,min
HKWorkoutActivityTypeRunning,2019-09-19 14:57:17-06:00,2019-09-19 14:33:23-06:00,2019-09-19 14:57:09-06:00,22.44973933299383,min
HKWorkoutActivityTypeRunning,2019-09-20 14:47:23-06:00,2019-09-20 13:52:08-06:00,2019-09-20 14:47:03-06:00,35.13211733897527,min
HKWorkoutActivityTypeRunning,2019-09-21 07:11:21-06:00,2019-09-21 06:30:02-06:00,2019-09-21 07:10:56-06:00,37.08911940058072,min
HKWorkoutActivityTypeRunning,2019-09-23 15:27:06-06:00,2019-09-23 14:08:50-06:00,2019-09-23 15:26:52-06:00,47.31791149576505,min
HKWorkoutActivityTypeElliptical,2019-09-24 09:40:24-06:00,2019-09-24 09:22:10-06:00,2019-09-24 09:40:18-06:00,18.13238338828087,min
HKWorkoutActivityTypeRunning,2019-09-24 14:16:56-06:00,2019-09-24 13:59:47-06:00,2019-09-24 14:16:38-06:00,14.07163681586584,min
HKWorkoutActivityTypeRunning,2019-09-24 14:36:58-06:00,2019-09-24 14:16:38-06:00,2019-09-24 14:36:41-06:00,4.81610951423645,min
HKWorkoutActivityTypeRunning,2019-09-24 14:45:27-06:00,2019-09-24 14:36:41-06:00,2019-09-24 14:45:12-06:00,4.682062562306722,min
HKWorkoutActivityTypeRunning,2019-09-24 14:54:23-06:00,2019-09-24 14:45:12-06:00,2019-09-24 14:54:06-06:00,4.731705985466639,min
HKWorkoutActivityTypeRunning,2019-09-24 15:11:42-06:00,2019-09-24 14:54:06-06:00,2019-09-24 15:11:30-06:00,4.750745666027069,min
HKWorkoutActivityTypeRunning,2019-09-24 15:23:51-06:00,2019-09-24 15:11:31-06:00,2019-09-24 15:23:44-06:00,8.168551361560821,min
HKWorkoutActivityTypeRunning,2019-09-25 14:42:53-06:00,2019-09-25 14:03:19-06:00,2019-09-25 14:42:29-06:00,36.74930673440297,min
HKWorkoutActivityTypeRunning,2019-09-26 14:15:25-06:00,2019-09-26 14:00:39-06:00,2019-09-26 14:15:08-06:00,14.2577357172966,min
HKWorkoutActivityTypeRunning,2019-09-26 14:31:22-06:00,2019-09-26 14:15:08-06:00,2019-09-26 14:31:11-06:00,1.762221843004227,min
HKWorkoutActivityTypeRunning,2019-09-26 14:34:45-06:00,2019-09-26 14:31:11-06:00,2019-09-26 14:34:36-06:00,1.941593152284622,min
HKWorkoutActivityTypeRunning,2019-09-26 14:38:03-06:00,2019-09-26 14:34:37-06:00,2019-09-26 14:37:51-06:00,1.713097602128983,min
HKWorkoutActivityTypeRunning,2019-09-26 14:41:55-06:00,2019-09-26 14:37:51-06:00,2019-09-26 14:41:46-06:00,1.84177006483078,min
HKWorkoutActivityTypeRunning,2019-09-26 14:45:30-06:00,2019-09-26 14:41:46-06:00,2019-09-26 14:45:22-06:00,1.751472649971644,min
HKWorkoutActivityTypeRunning,2019-09-26 14:49:21-06:00,2019-09-26 14:45:22-06:00,2019-09-26 14:49:12-06:00,2.352908356984456,min
HKWorkoutActivityTypeRunning,2019-09-26 14:52:53-06:00,2019-09-26 14:49:12-06:00,2019-09-26 14:52:40-06:00,1.687064152956009,min
HKWorkoutActivityTypeRunning,2019-09-26 15:05:58-06:00,2019-09-26 14:52:40-06:00,2019-09-26 15:05:47-06:00,1.738767166932424,min
HKWorkoutActivityTypeRunning,2019-09-26 15:20:53-06:00,2019-09-26 15:05:47-06:00,2019-09-26 15:20:42-06:00,14.14593639771144,min
HKWorkoutActivityTypeRunning,2019-09-27 14:42:09-06:00,2019-09-27 13:55:45-06:00,2019-09-27 14:42:01-06:00,30.20520680149396,min
HKWorkoutActivityTypeRunning,2019-09-28 06:54:16-06:00,2019-09-28 06:23:27-06:00,2019-09-28 06:54:04-06:00,11.81414418419202,min
HKWorkoutActivityTypeRunning,2019-09-28 07:33:12-06:00,2019-09-28 06:54:04-06:00,2019-09-28 07:32:59-06:00,14.47977748711904,min
HKWorkoutActivityTypeRunning,2019-09-28 07:49:43-06:00,2019-09-28 07:32:59-06:00,2019-09-28 07:49:38-06:00,15.02454596161842,min
HKWorkoutActivityTypeRunning,2019-09-30 15:11:14-06:00,2019-09-30 14:04:33-06:00,2019-09-30 15:10:58-06:00,44.6112453242143,min
HKWorkoutActivityTypeRunning,2019-10-01 14:28:22-06:00,2019-10-01 14:02:10-06:00,2019-10-01 14:28:09-06:00,14.30806155006091,min
HKWorkoutActivityTypeRunning,2019-10-01 14:40:12-06:00,2019-10-01 14:28:09-06:00,2019-10-01 14:40:02-06:00,6.134251129627228,min
HKWorkoutActivityTypeRunning,2019-10-01 14:53:02-06:00,2019-10-01 14:40:02-06:00,2019-10-01 14:52:54-06:00,6.0405965924263,min
HKWorkoutActivityTypeRunning,2019-10-01 16:02:20-06:00,2019-10-01 14:52:54-06:00,2019-10-01 16:02:13-06:00,3.893504138787587,min
HKWorkoutActivityTypeRunning,2019-10-02 15:00:08-06:00,2019-10-02 14:12:04-06:00,2019-10-02 14:59:57-06:00,28.94559807578723,min
HKWorkoutActivityTypeRunning,2019-10-03 14:27:45-06:00,2019-10-03 13:57:29-06:00,2019-10-03 14:27:23-06:00,17.99827523430189,min
HKWorkoutActivityTypeRunning,2019-10-03 14:44:21-06:00,2019-10-03 14:27:23-06:00,2019-10-03 14:44:08-06:00,12.78679911494255,min
HKWorkoutActivityTypeRunning,2019-10-03 15:06:03-06:00,2019-10-03 14:44:08-06:00,2019-10-03 15:05:55-06:00,19.48873073259989,min
HKWorkoutActivityTypeRunning,2019-10-04 15:02:10-06:00,2019-10-04 14:05:51-06:00,2019-10-04 15:01:57-06:00,35.03467533985773,min
HKWorkoutActivityTypeRunning,2019-10-05 06:05:55-06:00,2019-10-05 05:55:40-06:00,2019-10-05 06:05:51-06:00,9.28792453010877,min
HKWorkoutActivityTypeRunning,2019-10-05 09:16:29-06:00,2019-10-05 08:32:43-06:00,2019-10-05 09:16:19-06:00,13.85215226809184,min
HKWorkoutActivityTypeRunning,2019-10-05 10:05:59-06:00,2019-10-05 09:16:41-06:00,2019-10-05 10:05:49-06:00,21.21865182121595,min
HKWorkoutActivityTypeRunning,2019-10-06 07:31:33-06:00,2019-10-05 10:12:19-06:00,2019-10-06 07:31:03-06:00,8.896070114771526,min
HKWorkoutActivityTypeRunning,2019-10-07 14:53:56-06:00,2019-10-07 14:08:02-06:00,2019-10-07 14:53:47-06:00,35.99896593292554,min
HKWorkoutActivityTypeRunning,2019-10-08 14:26:57-06:00,2019-10-08 14:05:46-06:00,2019-10-08 14:26:43-06:00,13.26348068316778,min
HKWorkoutActivityTypeRunning,2019-10-08 14:41:02-06:00,2019-10-08 14:26:43-06:00,2019-10-08 14:40:44-06:00,3.878194850683212,min
HKWorkoutActivityTypeRunning,2019-10-08 14:47:57-06:00,2019-10-08 14:40:45-06:00,2019-10-08 14:47:45-06:00,3.81593102812767,min
HKWorkoutActivityTypeRunning,2019-10-08 14:56:19-06:00,2019-10-08 14:47:45-06:00,2019-10-08 14:56:10-06:00,3.746693964799245,min
HKWorkoutActivityTypeRunning,2019-10-08 15:04:27-06:00,2019-10-08 14:56:10-06:00,2019-10-08 15:04:18-06:00,3.700317740440369,min
HKWorkoutActivityTypeRunning,2019-10-08 15:12:18-06:00,2019-10-08 15:04:19-06:00,2019-10-08 15:12:15-06:00,3.28495197892189,min
